requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-r-60633-45,real,48,1,0,16.76,41.84
qual-r-60633-46,real,49,1,0,16.74,41.74
qual-r-60633-47,real,50,1,0,16.68,46.35
qual-r-60633-48,real,51,1,0,19.75,39.87
qual-r-60633-49,real,52,1,0,16.54,39.57
qual-r-60633-5,real,5,1,0,307.05,128.47
qual-r-60633-50,real,54,1,0,18.27,39.71
qual-r-60633-51,real,56,1,0,20.76,39.13
qual-r-60633-52,real,53,1,0,17.45,46.07
qual-r-60633-53,real,55,1,0,17.23,48.19
qual-r-60633-54,real,57,1,0,19.30,32.29
qual-r-60633-55,real,58,1,0,19.28,32.12
qual-r-60633-56,real,59,1,0,21.38,42.93
qual-r-60633-57,real,60,1,0,18.02,27.02
qual-r-60633-58,real,62,1,0,19.89,45.48
qual-r-60633-59,real,61,1,0,19.94,50.46
qual-r-60633-6,real,7,1,0,307.23,128.66
qual-r-60633-60,real,63,1,0,19.51,36.86
qual-r-60633-61,real,64,1,0,16.97,30.54
qual-r-60633-62,real,65,1,0,34.02,45.50
qual-r-60633-63,real,66,1,0,33.92,42.51
qual-r-60633-64,real,68,1,0,32.10,57.11
qual-r-60633-65,real,67,1,0,33.00,30.11
qual-r-60633-66,real,69,1,0,30.45,40.31
qual-r-60633-67,real,70,1,0,30.51,67.55
qual-r-60633-68,real,72,1,0,30.78,49.66
qual-r-60633-69,real,71,1,0,30.28,38.08
qual-r-60633-7,real,3,1,0,306.91,128.43
qual-r-60633-70,real,73,1,0,16.60,37.50
qual-r-60633-71,real,74,1,0,16.69,51.33
qual-r-60633-72,real,75,1,0,16.60,37.11
qual-r-60633-73,real,76,1,0,18.62,60.03
qual-r-60633-74,real,77,1,0,16.18,37.63
qual-r-60633-75,real,80,1,0,16.34,37.89
qual-r-60633-76,real,79,1,0,15.97,63.12
qual-r-60633-77,real,78,1,0,15.60,35.04
qual-r-60633-78,real,81,1,0,16.55,40.24
qual-r-60633-79,real,82,1,0,15.00,40.46
qual-r-60633-8,real,14,1,0,25.64,128.98
qual-r-60633-80,real,83,1,0,14.85,48.20
qual-r-60633-81,real,84,1,0,18.30,47.22
qual-r-60633-82,real,85,1,0,17.57,35.79
qual-r-60633-83,real,86,1,0,19.01,47.14
qual-r-60633-84,real,87,1,0,17.51,39.15
qual-r-60633-85,real,88,1,0,17.33,37.44
qual-r-60633-86,real,89,1,0,23.76,43.84
qual-r-60633-87,real,90,1,0,17.81,38.91
qual-r-60633-88,real,91,1,0,16.55,38.86
qual-r-60633-89,real,92,1,0,17.50,34.98
qual-r-60633-9,real,11,1,0,19.34,128.26
qual-r-60633-90,real,93,1,0,18.11,30.76
qual-r-60633-91,real,94,1,0,17.93,33.33
qual-r-60633-92,real,95,1,0,18.05,25.50
qual-r-60633-93,real,96,1,0,16.42,26.45
qual-r-60633-94,real,97,1,0,18.03,30.20
qual-r-60633-95,real,98,1,0,17.61,30.07
qual-r-60633-96,real,99,1,0,17.85,24.34
qual-r-60633-97,real,100,1,0,17.34,28.81
qual-r-60633-98,real,101,1,0,18.78,24.60
qual-r-60633-99,real,103,1,0,15.93,28.94
